year,sex,age_class,filename,url
2003,m,75,bra_m_75_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_75_2003.tif
2003,m,80,bra_m_80_2003.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2003/BRA/bra_m_80_2003.tif
2004,f,0,bra_f_0_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_0_2004.tif
2004,f,1,bra_f_1_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_1_2004.tif
2004,f,5,bra_f_5_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_5_2004.tif
2004,f,10,bra_f_10_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_10_2004.tif
2004,f,15,bra_f_15_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_15_2004.tif
2004,f,20,bra_f_20_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_20_2004.tif
2004,f,25,bra_f_25_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_25_2004.tif
2004,f,30,bra_f_30_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_30_2004.tif
2004,f,35,bra_f_35_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_35_2004.tif
2004,f,40,bra_f_40_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_40_2004.tif
2004,f,45,bra_f_45_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_45_2004.tif
2004,f,50,bra_f_50_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_50_2004.tif
2004,f,55,bra_f_55_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_55_2004.tif
2004,f,60,bra_f_60_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_60_2004.tif
2004,f,65,bra_f_65_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_65_2004.tif
2004,f,70,bra_f_70_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_70_2004.tif
2004,f,75,bra_f_75_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_75_2004.tif
2004,f,80,bra_f_80_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_f_80_2004.tif
2004,m,0,bra_m_0_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_0_2004.tif
2004,m,1,bra_m_1_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_1_2004.tif
2004,m,5,bra_m_5_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_5_2004.tif
2004,m,10,bra_m_10_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_10_2004.tif
2004,m,15,bra_m_15_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_15_2004.tif
2004,m,20,bra_m_20_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_20_2004.tif
2004,m,25,bra_m_25_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_25_2004.tif
2004,m,30,bra_m_30_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_30_2004.tif
2004,m,35,bra_m_35_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_35_2004.tif
2004,m,40,bra_m_40_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_40_2004.tif
2004,m,45,bra_m_45_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_45_2004.tif
2004,m,50,bra_m_50_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_50_2004.tif
2004,m,55,bra_m_55_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_55_2004.tif
2004,m,60,bra_m_60_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_60_2004.tif
2004,m,65,bra_m_65_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_65_2004.tif
2004,m,70,bra_m_70_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_70_2004.tif
2004,m,75,bra_m_75_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_75_2004.tif
2004,m,80,bra_m_80_2004.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2004/BRA/bra_m_80_2004.tif
2005,f,0,bra_f_0_2005.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2005/BRA/bra_f_0_2005.tif
2005,f,1,bra_f_1_2005.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2005/BRA/bra_f_1_2005.tif
2005,f,5,bra_f_5_2005.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2005/BRA/bra_f_5_2005.tif
2005,f,10,bra_f_10_2005.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2005/BRA/bra_f_10_2005.tif
2005,f,15,bra_f_15_2005.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2005/BRA/bra_f_15_2005.tif
2005,f,20,bra_f_20_2005.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2005/BRA/bra_f_20_2005.tif
2005,f,25,bra_f_25_2005.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2005/BRA/bra_f_25_2005.tif
2005,f,30,bra_f_30_2005.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2005/BRA/bra_f_30_2005.tif
2005,f,35,bra_f_35_2005.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2005/BRA/bra_f_35_2005.tif
2005,f,40,bra_f_40_2005.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2005/BRA/bra_f_40_2005.tif
2005,f,45,bra_f_45_2005.tif,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2005/BRA/bra_f_45_2005.tif
